127.0.0.1 - - [25/Nov/2024:09:41:53 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:41:54 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:41:54 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:42:48 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:42:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:45:32 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 500 2518
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:45:32 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:45:48 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:45:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:46:13 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:46:13 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:49:32 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:49:32 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:51:23 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:51:23 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:52:30 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:52:30 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:53:07 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:53:07 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:53:15 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:53:15 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:59:47 +0900] "GET /StudyJSP/jsp08_jstl/test3.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [25/Nov/2024:09:59:54 +0900] "GET /StudyJSP/jsp08_jstl/test3_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [25/Nov/2024:10:17:01 +0900] "GET /StudyJSP/jsp08_jstl/test3_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [25/Nov/2024:10:17:20 +0900] "GET /StudyJSP/jsp08_jstl/test3_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 335
